signal_nm,phi2_fixed_idler_norm,pump2_norm,f2_norm
1.270412499999999909e+03,1.108009526873425174e-04,4.367227300196387913e-41,4.839129852142254979e-45
1.270431250000000091e+03,1.101976623084984929e-04,4.767769000975428454e-41,5.254187569170770416e-45
1.270450000000000045e+03,1.095867322862338253e-04,5.204817309457760392e-41,5.704025425364502033e-45
1.270468750000000000e+03,1.089682681510236882e-04,5.681678452204676437e-41,6.191483012277735400e-45
1.270487499999999955e+03,1.083423768628758403e-04,6.201956154442665387e-41,6.719624982073050275e-45
1.270506249999999909e+03,1.077091667972828761e-04,6.769578233910138007e-41,7.291758276911151103e-45
1.270525000000000091e+03,1.070687477248029307e-04,7.388825556083657403e-41,7.911450622575250464e-45
1.270543750000000045e+03,1.064212308125297502e-04,8.064363559028993329e-41,8.582550376329823773e-45
1.270562500000000000e+03,1.057667286025306476e-04,8.801276574563062749e-41,9.309207820046861559e-45
1.270581249999999955e+03,1.051053550007374424e-04,9.605105191654611312e-41,1.009589800007902520e-44
1.270599999999999909e+03,1.044372252638935741e-04,1.048188693046802906e-40,1.094744521985369969e-44
1.270618750000000091e+03,1.037624559853171592e-04,1.143820051776896133e-40,1.186904929750127171e-44
1.270637500000000045e+03,1.030811650823070072e-04,1.248121408094686619e-40,1.286631370939794980e-44
1.270656250000000000e+03,1.023934717794525341e-04,1.361873760475657483e-40,1.394527574623999206e-44
1.270674999999999955e+03,1.016994966018268430e-04,1.485928002539070561e-40,1.511243881910036185e-44
1.270693749999999909e+03,1.009993613559087507e-04,1.621211136893151310e-40,1.637480705660364352e-44
1.270712500000000091e+03,1.002931891107497887e-04,1.768733037686212871e-40,1.773992234718494512e-44
1.270731250000000045e+03,9.958110419549364432e-05,1.929593809989452706e-40,1.921590399161584087e-44
1.270750000000000000e+03,9.886323217051139135e-05,2.104991798313773840e-40,2.081149113050932670e-44
1.270768749999999955e+03,9.813969982703845893e-05,2.296232301151402884e-40,2.253608813877045052e-44
1.270787499999999909e+03,9.741063516240477233e-05,2.504737053285147223e-40,2.439981316985928405e-44
1.270806250000000091e+03,9.667616736681560450e-05,2.732054543147547291e-40,2.641355006183420684e-44
1.270825000000000045e+03,9.593642681142753410e-05,2.979871238161277664e-40,2.858900381935495083e-44
1.270843750000000000e+03,9.519154502509149574e-05,3.250023797501332356e-40,3.093875989770319860e-44
1.270862499999999955e+03,9.444165469370368173e-05,3.544512358465811989e-40,3.347634754033084273e-44
1.270881249999999909e+03,9.368688962868625342e-05,3.865514990210353981e-40,3.621630741024942251e-44
1.270900000000000091e+03,9.292738475846750443e-05,4.215403416754047550e-40,3.917426380230716513e-44
1.270918750000000045e+03,9.216327611325010757e-05,4.596760119817218442e-40,4.236700171243448298e-44
1.270937500000000000e+03,9.139470080384755617e-05,5.012396941949774017e-40,4.581254906610812140e-44
1.270956249999999955e+03,9.062179701190563633e-05,5.465375320369455955e-40,4.953026442939794085e-44
1.270974999999999909e+03,8.984470397092647652e-05,5.959028293773049117e-40,5.354093053185446374e-44
1.270993750000000091e+03,8.906356194767240677e-05,6.496984436154236582e-40,5.786685395591751361e-44
1.271012500000000045e+03,8.827851222620480864e-05,7.083193885235895260e-40,6.253197136682572655e-44
1.271031250000000000e+03,8.748969709034915086e-05,7.721956647734060468e-40,6.756196267393034393e-44
1.271049999999999955e+03,8.669725981030827733e-05,8.417953378953279341e-40,7.298437153722969889e-44
1.271068749999999909e+03,8.590134462483294637e-05,9.176278851806901429e-40,7.882873364894391943e-44
1.271087500000000091e+03,8.510209671539903516e-05,1.000247834813992538e-39,8.512671323561429421e-44
1.271106250000000045e+03,8.429966220395876896e-05,1.090258722651615593e-39,9.191224829417332625e-44
1.271125000000000000e+03,8.349418811900436636e-05,1.188317394076855165e-39,9.922170500426240906e-44
1.271143749999999955e+03,8.268582239182816526e-05,1.295138680920939807e-39,1.070940419098732823e-43
1.271162499999999909e+03,8.187471383188063188e-05,1.411500485832529539e-39,1.155709843637472802e-43
1.271181250000000091e+03,8.106101210778478814e-05,1.538249309402314190e-39,1.246972098411273977e-43
1.271200000000000045e+03,8.024486772885177082e-05,1.676306258289210152e-39,1.345205447191816333e-43
1.271218750000000000e+03,7.942643203221753164e-05,1.826673575964512890e-39,1.450921731672028807e-43
1.271237499999999955e+03,7.860585716461941815e-05,1.990441741127476086e-39,1.564668587855781185e-43
1.271256249999999909e+03,7.778329605609018993e-05,2.168797182901162755e-39,1.687031796803800688e-43
1.271275000000000091e+03,7.695890240585708843e-05,2.363030665912770013e-39,1.818637777224036860e-43
1.271293750000000045e+03,7.613283066940182984e-05,2.574546403081329329e-39,1.960156227333028129e-43
1.271312500000000000e+03,7.530523602527035764e-05,2.804871958834994470e-39,2.112302923259176011e-43
1.271331249999999955e+03,7.447627437446633996e-05,3.055669010723905434e-39,2.275842683344348076e-43
