signal_nm,phi2_fixed_idler_norm,pump2_norm,f2_norm
1.274668750000000045e+03,1.246032736989177875e-05,1.106664795640934391e-34,1.378992436846972855e-39
1.274687500000000000e+03,1.257663929238566238e-05,1.198552660902724190e-34,1.507433152980792315e-39
1.274706249999999955e+03,1.270930127066940523e-05,1.298014215722491435e-34,1.649747429531146030e-39
1.274724999999999909e+03,1.285840906338732778e-05,1.405669046588246961e-34,1.807534753662261422e-39
1.274743750000000091e+03,1.302405678162149283e-05,1.522187040978778632e-34,1.982579622722325765e-39
1.274762500000000045e+03,1.320633687406468178e-05,1.648292439291247589e-34,2.176872407929475564e-39
1.274781250000000000e+03,1.340534011268187341e-05,1.784768210615065105e-34,2.392632490561662701e-39
1.274799999999999955e+03,1.362115557933905292e-05,1.932460777939259478e-34,2.632333909412548043e-39
1.274818749999999909e+03,1.385387065216960171e-05,2.092285120561315867e-34,2.898733782435789480e-39
1.274837500000000091e+03,1.410357099027167646e-05,2.265230283499084571e-34,3.194903791750932210e-39
1.274856250000000045e+03,1.437034052146494931e-05,2.452365326127884475e-34,3.524265051790556048e-39
1.274875000000000000e+03,1.465426142820120408e-05,2.654845744804022102e-34,3.890626710605191503e-39
1.274893749999999955e+03,1.495541413738880245e-05,2.873920406866748844e-34,4.298228671754258210e-39
1.274912499999999909e+03,1.527387730253233525e-05,3.110939036470575003e-34,4.751788858626629980e-39
1.274931250000000091e+03,1.560972779313482916e-05,3.367360295776917270e-34,5.256555492061830840e-39
1.274950000000000045e+03,1.596304068524697319e-05,3.644760508457716912e-34,5.818364893858041286e-39
1.274968750000000000e+03,1.633388924368353828e-05,3.944843076157314742e-34,6.443705377375937621e-39
1.274987499999999955e+03,1.672234491452024769e-05,4.269448642517407926e-34,7.139787851963138012e-39
1.275006249999999909e+03,1.712847731010940495e-05,4.620566063627646286e-34,7.914623817001967535e-39
1.275025000000000091e+03,1.755235419945982566e-05,5.000344248296297150e-34,8.777111499066759401e-39
